                           TxHash                                 TxIx        Amount
0780d0254b8332cc516a0cdf14e08d1bf290eab1527874eb66e894fc5405e7e7     0        35191150 lovelace + TxOutDatumInline ReferenceTxInsScriptsInlineDatumsInBabbageEra (ScriptDataConstructor 0 [])
07d3cc62859b926677a36b7a1fcd7c3466c92498a24c7cfebc6f5429d80e872f     0        32031920 lovelace + TxOutDatumInline ReferenceTxInsScriptsInlineDatumsInBabbageEra (ScriptDataConstructor 0 [])
07f61d767bb230ca347cec72df05759924004783f3a0c34deefd12b97c24eb06     0        32031920 lovelace + TxOutDatumInline ReferenceTxInsScriptsInlineDatumsInBabbageEra (ScriptDataConstructor 0 [])
0816a63878a7739bc2de85dff57a9b66024bde75b310e304f24a5733ad96634b     0        12973100 lovelace + 1 dc36a8453cbed2cce870a626a454e35d19ce25ae38312046947912c4.5461737465546573745374616b6556616c696461746f72 + TxOutDatumNone
081f9f66bee63d047675ec9d62f18d54ea0e8a44c0d60314484bed500e56b1a2     0        32031920 lovelace + TxOutDatumInline ReferenceTxInsScriptsInlineDatumsInBabbageEra (ScriptDataConstructor 0 [])
082875d2a4d50609c3ec7a9e488e70fe159a0f9a4fa45fe82068c8670b131aaa     0        6279670 lovelace + TxOutDatumInline ReferenceTxInsScriptsInlineDatumsInBabbageEra (ScriptDataConstructor 0 [])
08638202a86365743a58f42b96fa2386295e972a1aa023c77793fa2dc269e05c     0        32031920 lovelace + TxOutDatumInline ReferenceTxInsScriptsInlineDatumsInBabbageEra (ScriptDataConstructor 0 [])
0863a9ec89e37be4eb742cff8b93b14e0de8e66737ba46eb1878edd0d90bec75     0        5240960 lovelace + TxOutDatumHash ScriptDataInBabbageEra "923918e403bf43c34b4ef6b48eb2ee04babed17320d8d1b9ff9ad086e86f44ec"
0875e023edc6077f4231d378347ddd65313a1f037b470c814e1e6dd7f25165a4     0        6943410 lovelace + TxOutDatumHash ScriptDataInBabbageEra "923918e403bf43c34b4ef6b48eb2ee04babed17320d8d1b9ff9ad086e86f44ec"
0875e023edc6077f4231d378347ddd65313a1f037b470c814e1e6dd7f25165a4     1        35195460 lovelace + TxOutDatumHash ScriptDataInBabbageEra "923918e403bf43c34b4ef6b48eb2ee04babed17320d8d1b9ff9ad086e86f44ec"
0875e023edc6077f4231d378347ddd65313a1f037b470c814e1e6dd7f25165a4     2        6758080 lovelace + TxOutDatumHash ScriptDataInBabbageEra "923918e403bf43c34b4ef6b48eb2ee04babed17320d8d1b9ff9ad086e86f44ec"
0875e023edc6077f4231d378347ddd65313a1f037b470c814e1e6dd7f25165a4     3        14447120 lovelace + TxOutDatumHash ScriptDataInBabbageEra "923918e403bf43c34b4ef6b48eb2ee04babed17320d8d1b9ff9ad086e86f44ec"
0875e023edc6077f4231d378347ddd65313a1f037b470c814e1e6dd7f25165a4     4        7684730 lovelace + TxOutDatumHash ScriptDataInBabbageEra "923918e403bf43c34b4ef6b48eb2ee04babed17320d8d1b9ff9ad086e86f44ec"
0878bde0398da5caef6bce5b517b67010fcbe5f922bdb581e7257c9abcd59d33     0        1189560 lovelace + 1 ec58c51a266f0d8667f1239538af5aad958c50196874493bd1e9ee65.61757468 + TxOutDatumInline ReferenceTxInsScriptsInlineDatumsInBabbageEra (ScriptDataBytes "Hello world, Preview Network!")
088cbbfea2188bc2110eb5e54cf7446378030a6d0a94d804e42a98a2dc1a69d0     0        4611700 lovelace + TxOutDatumInline ReferenceTxInsScriptsInlineDatumsInBabbageEra (ScriptDataConstructor 0 [])
08b76a0b7c3ab7acfef73e14174ddf549b6a65608c3963b61fa716b46ab6af99     0        22575780 lovelace + TxOutDatumHash ScriptDataInBabbageEra "923918e403bf43c34b4ef6b48eb2ee04babed17320d8d1b9ff9ad086e86f44ec"
08bae23ee82869f80f53fa37c6ef5f7e3429963850cc772d0e5aca241337edaa     0        6758080 lovelace + TxOutDatumHash ScriptDataInBabbageEra "923918e403bf43c34b4ef6b48eb2ee04babed17320d8d1b9ff9ad086e86f44ec"
08bebe1625162456ec4d6e5178523975de0fb1eadaa5099441d478c204c2786d     0        4611700 lovelace + TxOutDatumInline ReferenceTxInsScriptsInlineDatumsInBabbageEra (ScriptDataConstructor 0 [])
08e313b4833f0f3b80560e0d82264a5783de4552ccd3d4c413fb73a81f6b6793     0        10244870 lovelace + TxOutDatumHash ScriptDataInBabbageEra "923918e403bf43c34b4ef6b48eb2ee04babed17320d8d1b9ff9ad086e86f44ec"
